Time,Temperature
0,24.10510539552033
1,32.62317785379547
2,21.08516986322275
3,6.503619490193145
4,4.675229273719147
5,17.304033747723032
6,26.89978661399536
7,27.90789644033486
8,23.44316957685789
9,8.393658370449948
10,32.2560030748652
11,26.309168518134708
12,28.848021315808253
13,6.6849889415677115
14,16.45581434652066
15,24.248671262582622
16,28.470085822788917
17,18.77115720245584
18,28.93764984778771
19,21.183925744933756
20,29.686044092403577
21,0.48116508843036865
22,35.83947853375133
23,39.11311964212217
24,15.544583518938254
25,7.885205355104626
26,39.76494899256407
27,16.396511715199416
28,8.67136971635926
29,31.62940963648748
30,7.590470208026188
31,3.0996054291379913
32,4.4311106072897495
33,31.81013359666197
34,6.946300390767831
35,20.10146665085133
36,36.024472095717435
37,4.691432051949695
38,24.19026904291848
39,16.140866276869453
40,20.000407285184334
41,31.48674099804272
42,1.7575109844622636
43,21.371746022196945
44,20.98231457222142
45,24.121148073102006
46,25.015171651277615
47,24.859738112083644
48,18.066902513225536
49,18.45121146327043
50,14.518740567290731
51,24.606137457008494
52,16.316153582883175
53,9.131744911784315
54,20.894782597287154
55,1.653279985887476
56,19.699351017052724
57,21.302385439923373
58,12.248151035621813
59,29.821110600057168
60,34.95189751531935
61,24.827497428637894
62,16.9699128620274
63,39.26949909447095
64,3.724319322515944
65,4.988878575015953
66,7.45961718344671
67,28.58045368897146
68,25.838425756575706
69,29.707662889906786
70,32.14832091311099
71,23.105690869915215
72,34.70114045287438
73,1.3793829942056846
74,31.061762060856637
75,27.855155232679465
76,15.021648824905224
77,10.850600254832434
78,19.898539185706948
79,33.7211895941724
80,15.371529227323485
81,27.191341581987693
82,-0.4199871953182761
83,20.529997851740685
84,26.154453094060855
85,35.848039503271586
86,23.36424496952064
87,7.6377227476227745
88,16.05146543209564
89,10.718574117022289
90,30.647607445351383
91,9.126444927563382
92,26.466168300349125
93,10.964219269331206
94,3.3173457675999387
95,23.839313787931783
96,0.9813783296428973
97,32.15006076368428
98,31.296677485241958
99,18.15783169388706
